importance
111
42
20
29
97
84
145
957
38
91
259
959
73
29
24
16
34
32
219
34
70
41
28
28
30
17
20
96
42
49
49
21
29
36
15
29
82
47
40
39
37
25
30
28
45
115
48
48
65
60
82
61
75
124
299
122
177
8
8
2
5
14
22
35
6
6
6
27
0
9
20
49
0
4
4
1
5
5
4
7
0
6
25
13
5
6
0
2
4
16
2
5
0
19
6
3
5
0
1
5
19
0
4
16
6
1
13
22
9
0
12
5
0
24
0
16
1
104
49
50
27
20
45
103
29
52
28
33
162
81
4
1
0
11
2
1
14
14
0
0
2
0
3
0
0
2
8
1
1
1
13
9
0
4
6
9
2
2
3
12
0
1
0
1
0
0
3
0
4
2
0
1
5
1
0
0
14
11
0
1
0
0
165
84
84
63
42
80
124
171
49
35
41
