params,mean_test_score,rank_test_score
"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.5}",0.26193866977844116,25
"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.7}",0.3820905966145736,2
"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 1.0}",0.3077403276123848,18
"{'colsample_bytree': 1.0, 'learning_rate': 0.001, 'max_depth': 3, 'subsample': 0.5}",-27.76569742969325,73
"{'colsample_bytree': 1.0, 'learning_rate': 0.001, 'max_depth': 3, 'subsample': 0.7}",-27.765899392936433,74
"{'colsample_bytree': 1.0, 'learning_rate': 0.001, 'max_depth': 3, 'subsample': 1.0}",-27.76694020311675,75
"{'colsample_bytree': 1.0, 'learning_rate': 0.001, 'max_depth': 4, 'subsample': 0.5}",-27.751724803717128,66
"{'colsample_bytree': 1.0, 'learning_rate': 0.001, 'max_depth': 4, 'subsample': 0.7}",-27.74870441357673,62
"{'colsample_bytree': 1.0, 'learning_rate': 0.001, 'max_depth': 4, 'subsample': 1.0}",-27.749021445294293,63
"{'colsample_bytree': 1.0, 'learning_rate': 0.001, 'max_depth': 5, 'subsample': 0.5}",-27.776140734367306,78
"{'colsample_bytree': 1.0, 'learning_rate': 0.001, 'max_depth': 5, 'subsample': 0.7}",-27.772552586192578,77
"{'colsample_bytree': 1.0, 'learning_rate': 0.001, 'max_depth': 5, 'subsample': 1.0}",-27.767100333164326,76
"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.5}",-5.028463407314839,36
"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7}",-5.02232985761855,35
"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",-5.0105294095791075,32
"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.5}",-5.149029109238647,49
"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.7}",-5.136322360479031,46
"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 1.0}",-5.1402300041986475,47
"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.5}",-5.191680197900201,52
"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.7}",-5.220951495308828,54
"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'subsample': 1.0}",-5.2054010476938934,53
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.5}",0.3741986226078075,4
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.7}",0.4045754958830961,1
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1.0}",0.3491032064734178,8
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.5}",0.35607458835121547,6
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.7}",0.34229118277931164,9
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 1.0}",0.3504819466406465,7
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.5}",0.3034046263775638,21
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.7}",0.32865130487671634,12
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 1.0}",0.3751089299710326,3
