importance
9
7
5
4
14
22
34
389
6
4
59
385
11
3
4
5
0
10
35
5
3
7
5
5
3
1
0
12
7
1
5
3
3
6
3
1
9
8
8
8
8
3
7
3
7
34
4
19
15
10
6
15
18
58
122
8
81
11
5
0
2
17
18
23
2
2
0
22
0
11
22
37
0
0
4
3
4
3
3
6
0
6
19
14
5
9
3
8
5
18
0
6
4
21
6
3
7
0
6
1
18
0
5
17
4
6
16
21
13
0
16
4
0
22
1
16
0
62
45
27
9
9
21
67
28
22
13
24
127
2
0
0
0
0
0
0
2
4
1
0
0
0
0
0
0
0
1
0
0
0
2
2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
3
0
0
0
0
0
119
23
22
14
37
56
69
77
43
21
26
